"Title:","Arrests by Race from the Arrests Database"
"SubTitle:","USA - Adult Juvenile: Adult and Juvenile"
"Time:","1980 - 2019"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Criminal Justice Information Services Division, Federal Bureau of Investigation, Federal Bureau of Investigation (2020-10-29). Arrests by Race: Arrests by Race |  | Robbery | Aggravated Assault | Burglary - Breaking or Entering | Marijuana | Driving Under the Influence | Disorderly Conduct | Suspicion | White | Black or African American | American Indian or Alaskan Native | Asian/Pacific Islander | Adult and Juvenile, 1980 - 2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  010-002-002 doi:https://doi.org/10.6068/DP17D764685051"
"ColumnCount:","29"
"RowCount:","24"

"Time","Robbery - White","Robbery - Black or African American","Robbery - American Indian or Alaskan Native","Robbery - Asian/Pacific Islander","Aggravated Assault - White","Aggravated Assault - Black or African American","Aggravated Assault - American Indian or Alaskan Native","Aggravated Assault - Asian/Pacific Islander","Burglary - Breaking or Entering - White","Burglary - Breaking or Entering - Black or African American","Burglary - Breaking or Entering - American Indian or Alaskan Native","Burglary - Breaking or Entering - Asian/Pacific Islander","Marijuana - White","Marijuana - Black or African American","Marijuana - American Indian or Alaskan Native","Marijuana - Asian/Pacific Islander","Driving Under the Influence - White","Driving Under the Influence - Black or African American","Driving Under the Influence - American Indian or Alaskan Native","Driving Under the Influence - Asian/Pacific Islander","Disorderly Conduct - White","Disorderly Conduct - Black or African American","Disorderly Conduct - American Indian or Alaskan Native","Disorderly Conduct - Asian/Pacific Islander","Suspicion - White","Suspicion - Black or African American","Suspicion - American Indian or Alaskan Native","Suspicion - Asian/Pacific Islander"
"1980",58275,81888,783,848,164941,95814,2904,1291,341388,142320,3651,2436,252056,58413,1547,1208,1152443,147838,15908,5804,504061,223889,10735,1741,10048,7209,36,75
"1985",48069,81447,561,705,162955,113254,2630,1762,282726,121268,3153,2520,236910,86224,1690,2851,1405816,156920,17116,9776,445897,223370,7927,2574,6688,5403,46,63
"1990",56186,96617,508,1072,251778,167830,3781,2988,259469,118373,3209,3031,174315,54013,1307,1372,1396513,149333,17176,12217,443774,221922,8318,2982,7849,10200,87,73
"1995",57399,89931,726,1790,281569,186425,4319,5213,214751,99975,2882,3357,304060,109963,2717,2409,965952,121659,16679,12571,436107,253325,8004,4023,5093,4453,38,21
"2000",39733,54514,543,1312,231894,137108,4283,5143,149905,66635,2162,2592,370393,157361,3904,3457,914862,108274,15466,10546,346233,191540,6867,3397,2896,1228,28,49
"2001",40965,54397,500,1200,236050,136601,4015,5078,153272,66461,2179,2510,357706,145548,3879,3635,888647,103345,14967,9503,336890,191086,6780,3704,1900,1130,13,24
"2002",38739,50285,513,1028,234456,132012,4390,4574,159526,65662,2217,2577,349701,127583,4022,3402,978737,114189,17137,10717,370484,182556,8731,3988,4501,3406,110,289
"2003",36689,46432,560,923,224478,121045,4030,4186,161195,64761,2359,2372,351009,124402,4363,3303,958218,106951,15966,10788,354359,173083,8222,4099,1335,720,16,15
"2004",38088,46735,520,783,222157,116970,4353,3902,163590,65264,2351,2235,366666,141909,4204,3196,972890,104436,15715,11677,349992,174864,8119,4163,3481,2102,105,247
"2005",37814,51189,553,834,223024,121959,4581,3867,163815,68070,2352,2084,363558,156460,4387,3230,951012,102474,15230,11858,354235,190149,8551,4168,1920,1024,12,7
"2006",42040,56496,641,911,222530,123946,4577,3951,166219,70680,2318,2137,379058,170143,4477,3570,980896,103454,14770,12916,357486,197216,8520,4327,1659,1107,42,18
